kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"238010","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",25/03/2022,200000
"238010","032","03212","425913","0000000","0000","000","0","D","0","00000001","0000","2",21/03/2022,11359513
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",28/03/2022,1092000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,1198642
"427573","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2022,1346916
"427573","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/04/2022,1950000
"403823","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/10/2022,535686
"403823","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",15/09/2022,3000000
"652009","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",02/12/2022,153160000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",02/12/2022,3130000
"403829","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",16/06/2022,92
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",20/07/2022,380000
"245124","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",23/02/2022,1000000
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/02/2022,16400000
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",28/06/2022,4750000
"427630","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",12/07/2022,600000
"427630","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",01/09/2022,11100000
"403837","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",11/11/2022,15000000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",13/07/2022,755000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",25/07/2022,460000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",25/11/2022,42640000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",19/09/2022,80360000
"352595","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",30/06/2022,1645000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",26/07/2022,1750000
"403828","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",10/10/2022,37260000
